step testing_loss benchmark_loss running_difference running_acc
0 10.5922 10.5922 -1.43051e-05 0.0
1 10.5439 10.5439 3.29018e-05 0.5
2 10.8386 10.8385 5.72205e-06 0.333333333333
3 10.7925 10.7926 1.88351e-05 0.5
4 10.3879 10.3879 2.04086e-05 0.6
5 10.1213 10.1214 3.13123e-05 0.666666666667
6 11.901 11.901 3.69208e-05 0.714285714286
7 10.0636 10.0636 3.85046e-05 0.75
8 11.1114 11.1113 1.65304e-05 0.666666666667
9 11.4409 11.4409 8.39233e-06 0.6
10 10.5421 10.542 -1.30046e-06 0.545454545455
11 10.0956 10.0958 1.67688e-05 0.583333333333
12 10.1228 10.1228 1.62858e-05 0.615384615385
13 10.6528 10.6529 2.17302e-05 0.642857142857
14 10.9067 10.9069 3.35058e-05 0.666666666667
15 10.5967 10.5967 3.3617e-05 0.6875
16 10.8945 10.8947 3.92128e-05 0.705882352941
17 10.5486 10.5486 3.61866e-05 0.666666666667
18 10.0889 10.0889 3.09191e-05 0.631578947368
19 10.3248 10.3247 2.78473e-05 0.6
20 10.3746 10.3744 1.93914e-05 0.571428571429
21 10.0739 10.0742 3.23816e-05 0.590909090909
22 10.679 10.6793 4.20031e-05 0.608695652174
23 9.95877 9.95902 5.07037e-05 0.625
24 11.2348 11.2352 6.45447e-05 0.64
25 10.7254 10.7257 7.10854e-05 0.653846153846
26 10.8491 10.8492 7.41393e-05 0.666666666667
27 10.6099 10.6103 8.36849e-05 0.678571428571
28 11.2214 11.2221 0.000102701 0.689655172414
29 10.4134 10.4139 0.000114346 0.7
30 10.6441 10.6443 0.000117702 0.709677419355
31 11.1399 11.1403 0.00012812 0.71875
32 10.9191 10.919 0.000119816 0.69696969697
33 9.76538 9.76558 0.000122267 0.705882352941
34 10.4038 10.4039 0.000121607 0.714285714286
35 11.3639 11.3642 0.000127342 0.722222222222
36 10.3716 10.3717 0.000125395 0.72972972973
37 11.1965 11.1969 0.000130779 0.736842105263
38 10.7285 10.7288 0.000134884 0.74358974359
39 10.019 10.0194 0.000141835 0.75
40 10.6411 10.6415 0.000147191 0.756097560976
41 11.1236 11.1241 0.000155449 0.761904761905
42 10.1834 10.1838 0.00016055 0.767441860465
43 11.146 11.146 0.000156749 0.75
44 10.664 10.6641 0.000156869 0.755555555556
45 10.5252 10.5259 0.000168904 0.760869565217
46 10.1931 10.1932 0.000166954 0.765957446809
47 10.7348 10.7347 0.000161052 0.75
48 10.412 10.4129 0.000176527 0.755102040816
49 9.97926 9.9793 0.000173759 0.76
50 10.2981 10.2973 0.000154477 0.745098039216
51 10.3132 10.3132 0.000151689 0.75
52 11.1322 11.1328 0.000160685 0.754716981132
53 11.1224 11.1232 0.000171697 0.759259259259
54 10.6485 10.6488 0.000173829 0.763636363636
55 9.82866 9.82958 0.00018721 0.767857142857
56 11.0456 11.0459 0.000188309 0.771929824561
57 9.98616 9.98711 0.000201472 0.775862068966
58 10.8539 10.8537 0.000194614 0.762711864407
59 10.7376 10.7373 0.000186666 0.75
60 10.0904 10.0909 0.000192799 0.754098360656
61 10.44 10.4403 0.000194211 0.758064516129
62 9.64713 9.64788 0.000202906 0.761904761905
63 11.2729 11.273 0.000200614 0.765625
64 10.3781 10.3783 0.000201049 0.769230769231
65 11.1991 11.1992 0.000198465 0.772727272727
66 11.2585 11.2584 0.000194535 0.761194029851
67 10.9478 10.9479 0.000192839 0.764705882353
68 11.8364 11.8368 0.000195199 0.768115942029
69 11.5479 11.5482 0.000196389 0.771428571429
70 10.7382 10.7384 0.00019737 0.774647887324
71 11.0399 11.0402 0.000197728 0.777777777778
72 10.6214 10.6217 0.000199057 0.780821917808
73 9.41031 9.41132 0.00020995 0.783783783784
74 10.996 10.9961 0.000208308 0.786666666667
75 9.71198 9.71291 0.000217726 0.789473684211
76 10.8905 10.8909 0.000219952 0.792207792208
77 11.4472 11.4481 0.000228601 0.794871794872
78 10.0284 10.0287 0.000229039 0.79746835443
79 10.189 10.1905 0.000244188 0.8
80 9.88129 9.88153 0.0002442 0.802469135802
81 10.1496 10.1509 0.000258004 0.80487804878
82 11.1241 11.124 0.000253608 0.795180722892
83 10.4107 10.4111 0.000255721 0.797619047619
84 10.8305 10.8309 0.000257155 0.8
85 10.9936 10.9941 0.000259776 0.802325581395
86 11.2845 11.286 0.000274351 0.804597701149
87 10.8338 10.8334 0.000266043 0.795454545455
88 10.6128 10.6134 0.000269986 0.797752808989
89 11.024 11.0241 0.000268025 0.8
90 11.0874 11.0879 0.000270037 0.802197802198
91 10.8 10.8008 0.000276628 0.804347826087
92 10.5924 10.5942 0.000292388 0.806451612903
93 11.3894 11.3897 0.000292565 0.808510638298
94 10.9041 10.9044 0.000292146 0.810526315789
95 10.6508 10.6516 0.000297437 0.8125
96 9.96973 9.96896 0.000286407 0.80412371134
97 10.4279 10.4277 0.000280614 0.795918367347
98 10.2397 10.2407 0.00028801 0.79797979798
